Facility_ID,Service_Level_1,Service_Level_2
402,Audiology,
402,Complementary & Alternative Medicine,Chiropractic  Services
402,Complementary & Alternative Medicine,
402,Dental Services ,
402,Diagnostic Services,Imaging & Radiology
402,Diagnostic Services,Lab Services
402,Diagnostic Services,Nuclear Medicine 
402,Diagnostic Services,
402,Extended Care ,Outpatient Geriatric Medicine
402,Extended Care ,
402,Eye (Vision) Care,Ophthalmology
402,Eye (Vision) Care,Optometry
402,Eye (Vision) Care,
402,Mental Health Care ,Outpatient Mental Health Care
402,Mental Health Care ,Outpatient Specialized Mental Health Care 
402,Mental Health Care ,Vocational Assistance (Vocational Counselling &/or
402,Mental Health Care ,
402,Outpatient Medical Specialty Care,Cardiology (Heart) Care Services
402,Outpatient Medical Specialty Care,Dermatology (Skin) Care Services
402,Outpatient Medical Specialty Care,Diabetes
402,Outpatient Medical Specialty Care,Dialysis & Dialysis Support Services 
402,Outpatient Medical Specialty Care,Endocrinology
402,Outpatient Medical Specialty Care,Gastroenterology
402,Outpatient Medical Specialty Care,Hematology (Blood) Services 
402,Outpatient Medical Specialty Care,Infectious Disease
402,Outpatient Medical Specialty Care,Internal Medicine
402,Outpatient Medical Specialty Care,Nephrology (Kidney) Services
402,Outpatient Medical Specialty Care,Neurology
402,Outpatient Medical Specialty Care,Oncology (Cancer) Care Services
402,Outpatient Medical Specialty Care,Pulmonary/ Respiratory Disease
402,Outpatient Medical Specialty Care,Rheumatology/Arthritis
402,Outpatient Medical Specialty Care,Sleep Studies/Sleep Medicine
402,Outpatient Medical Specialty Care,
402,Outpatient Surgical Specialty Care , Podiatry
402,Outpatient Surgical Specialty Care ,ENT (Ears/Nose/Throat)
402,Outpatient Surgical Specialty Care ,General Surgery
402,Outpatient Surgical Specialty Care ,Gynecology
402,Outpatient Surgical Specialty Care ,Ophthalmology
402,Outpatient Surgical Specialty Care ,Orthopedics
402,Outpatient Surgical Specialty Care ,Pain Management Clinic 
402,Outpatient Surgical Specialty Care ,Urology
402,Outpatient Surgical Specialty Care ,Vascular Surgery
402,Outpatient Surgical Specialty Care ,
402,Primary Care ,
402,Rehabilitation Care & Services ,Amputation System of Care Services
